neuron,concept,concept_id,metric
375,great dane,n02109047,0.9570
376,plane,n03954731,0.9555
377,microwave,n03761084,0.9572
378,keeshond,n02112350,0.9758
379,jay,n01580077,0.9747
380,hot pot,n07590611,0.9700
381,bib,n02834397,0.9666
382,window shade,n04590129,0.9800
383,trailer truck,n04467665,0.9598
384,alp,n09193705,0.9689
385,indian elephant,n02504013,0.9743
386,coho,n02536864,0.9684
387,european gallinule,n02017213,0.9637
388,jackfruit,n07754684,0.9636
389,chocolate sauce,n07836838,0.9459
390,boa constrictor,n01742172,0.9874
391,electric locomotive,n03272562,0.9860
392,indian cobra,n01748264,0.9717
393,chainlink fence,n03000134,0.9865
394,mashed potato,n07711569,0.9796
395,police van,n03977966,0.9784
396,pizza,n07873807,0.9888
397,police van,n03977966,0.9696
398,catamaran,n02981792,0.9593
399,gorilla,n02480855,0.9721
400,broccoli,n07714990,0.9711
401,jellyfish,n01910747,0.9768
402,entlebucher,n02108000,0.9756
403,cornet,n03110669,0.9417
404,four-poster,n03388549,0.9492
405,lotion,n03690938,0.9715
406,basketball,n02802426,0.9456
407,green snake,n01729977,0.9735
408,espresso,n07920052,0.9063
409,volleyball,n04540053,0.9748
410,angora,n02328150,0.9576
411,little blue heron,n02009229,0.9547
412,planetarium,n03956157,0.9619
413,cheeseburger,n07697313,0.9524
414,black swan,n01860187,0.9649
415,american coot,n02018207,0.9633
416,grey whale,n02066245,0.9693
417,lycaenid,n02281787,0.9783
418,spotted salamander,n01632458,0.9699
419,zebra,n02391049,0.9794
420,bagel,n07693725,0.9739
421,pirate,n03947888,0.9545
422,tank,n04389033,0.9776
423,web site,n06359193,0.9897
424,grey whale,n02066245,0.9781
425,reflex camera,n04069434,0.9523
426,great white shark,n01484850,0.9862
427,grille,n03459775,0.9775
428,pool table,n03982430,0.9692
429,stopwatch,n04328186,0.9438
430,cello,n02992211,0.9753
431,warplane,n04552348,0.9429
432,consomme,n07584110,0.9693
433,hyena,n02117135,0.9499
434,gila monster,n01692333,0.9588
435,viaduct,n04532670,0.9720
436,viaduct,n04532670,0.9322
437,tub,n04493381,0.9708
438,cardoon,n07730033,0.9781
439,potter's wheel,n03992509,0.9788
440,hot pot,n07590611,0.9798
441,jacamar,n01843065,0.9447
442,bikini,n02837789,0.9820
443,african elephant,n02504458,0.9611
444,american black bear,n02133161,0.9426
445,macaque,n02487347,0.9648
446,four-poster,n03388549,0.9873
447,triumphal arch,n04486054,0.9878
448,indigo bunting,n01537544,0.9554
449,cardoon,n07730033,0.9836
450,crossword puzzle,n06785654,0.9844
451,lesser panda,n02509815,0.9803
452,triumphal arch,n04486054,0.9630
453,obelisk,n03837869,0.9633
454,necklace,n03814906,0.9825
455,beacon,n02814860,0.9781
456,electric locomotive,n03272562,0.9950
457,bikini,n02837789,0.9749
458,gown,n03450230,0.9579
459,african elephant,n02504458,0.9766
460,lionfish,n02643566,0.9821
461,brambling,n01530575,0.9797
462,armadillo,n02454379,0.9707
463,ram,n02412080,0.9707
464,sorrel,n02389026,0.9478
465,gondola,n03447447,0.9508
466,spiny lobster,n01984695,0.9853
467,afghan hound,n02088094,0.9521
468,grey fox,n02120505,0.9536
469,admiral,n02276258,0.9867
470,mosque,n03788195,0.9685
471,howler monkey,n02492660,0.9772
472,yawl,n04612504,0.9522
473,bullfrog,n01641577,0.9376
474,american black bear,n02133161,0.9576
475,oboe,n03838899,0.9637
476,bullfrog,n01641577,0.9588
477,cabbage butterfly,n02280649,0.9699
478,giant panda,n02510455,0.9702
479,restaurant,n04081281,0.9709
480,drilling platform,n03240683,0.9809
481,volcano,n09472597,0.9779
482,mitten,n03775071,0.9554
483,blenheim spaniel,n02086646,0.9508
484,bookcase,n02870880,0.9613
485,miniature schnauzer,n02097047,0.9606
486,aircraft carrier,n02687172,0.9666
487,baseball,n02799071,0.9635
488,lycaenid,n02281787,0.9848
489,cello,n02992211,0.9415
490,broccoli,n07714990,0.9904
491,totem pole,n04458633,0.9317
492,komodo dragon,n01695060,0.9686
493,macaque,n02487347,0.9560
494,chimpanzee,n02481823,0.9430
495,cheeseburger,n07697313,0.9553
496,abacus,n02666196,0.9776
497,tiger,n02129604,0.9548
498,consomme,n07584110,0.9834
499,harp,n03495258,0.9864
500,flatworm,n01924916,0.9465
501,keeshond,n02112350,0.9493
502,dishrag,n03207743,0.9831
503,vault,n04523525,0.9756
504,ringlet,n02277742,0.9731
505,envelope,n03291819,0.9072
506,lens cap,n03657121,0.9593
507,garden spider,n01773797,0.9946
508,obelisk,n03837869,0.9751
509,geyser,n09288635,0.9695
510,yawl,n04612504,0.9832
511,sulphur-crested cockatoo,n01819313,0.9736
