neuron,concept,concept_id,metric
527,desktop computer,n03180011,0.9972
528,dial telephone,n03187595,0.9973
529,diaper,n03188531,0.9952
530,digital clock,n03196217,0.9962
531,stopwatch,n04328186,0.9914
532,dining table,n03201208,0.9992
533,dishrag,n03207743,0.9998
534,dishwasher,n03207941,0.9965
535,disk brake,n03208938,0.9998
536,dock,n03216828,0.9959
537,dogsled,n03218198,0.9992
538,dome,n03220513,0.9983
539,doormat,n03223299,0.9961
540,drilling platform,n03240683,0.9993
541,drum,n03249569,0.9947
542,drumstick,n03250847,0.9906
543,dumbbell,n03255030,0.9968
544,dutch oven,n03259280,0.9981
545,electric fan,n03271574,0.9948
546,acoustic guitar,n02676566,0.9986
547,electric locomotive,n03272562,0.9995
548,entertainment center,n03290653,0.9979
549,envelope,n03291819,0.9968
550,espresso maker,n03297495,0.9950
551,face powder,n03314780,0.9947
552,feather boa,n03325584,0.9995
553,file,n03337140,0.9956
554,fireboat,n03344393,0.9993
555,fire engine,n03345487,0.9978
556,fire screen,n03347037,0.9986
557,flagpole,n03355925,0.9970
558,bassoon,n02804610,0.9916
559,folding chair,n03376595,0.9979
560,football helmet,n03379051,0.9928
561,forklift,n03384352,0.9991
562,fountain,n03388043,0.9966
563,fountain pen,n03388183,0.9934
564,four-poster,n03388549,0.9996
565,electric locomotive,n03272562,0.9988
566,french horn,n03394916,0.9983
567,frying pan,n03400231,0.9962
568,fur coat,n03404251,0.9967
569,garbage truck,n03417042,0.9980
570,gasmask,n03424325,0.9939
571,gas pump,n03425413,0.9970
572,goblet,n03443371,0.9975
573,go-kart,n03444034,0.9983
574,golf ball,n03445777,0.9993
575,golfcart,n03445924,0.9992
576,gondola,n03447447,1.0000
577,gong,n03447721,0.9935
578,gown,n03450230,0.9976
579,grand piano,n03452741,0.9963
580,greenhouse,n03457902,0.9994
581,grille,n03459775,0.9988
582,grocery store,n03461385,0.9962
583,guillotine,n03467068,0.9990
584,hair slide,n03476684,0.9929
585,lotion,n03690938,0.9911
586,half track,n03478589,0.9980
587,hammer,n03481172,0.9912
588,hamper,n03482405,0.9913
