neuron,concept,concept_id,metric
383,mantis,n02236044,0.9448
384,stinkhorn,n13040303,0.9486
385,bald eagle,n01614925,0.9588
386,killer whale,n02071294,0.9433
387,german short-haired pointer,n02100236,0.9811
388,sturgeon,n02640242,0.9881
389,hammerhead,n01494475,0.9637
390,cello,n02992211,0.9510
391,armadillo,n02454379,0.9441
392,four-poster,n03388549,0.9511
393,bulbul,n01560419,0.9604
394,pillow,n03938244,0.9622
395,marmot,n02361337,0.9504
396,chickadee,n01592084,0.9886
397,mud turtle,n01667114,0.9617
398,yellow lady's slipper,n12057211,0.9815
399,red-breasted merganser,n01855032,0.9639
400,mortarboard,n03787032,0.9476
401,basset,n02088238,0.9484
402,american egret,n02009912,0.9773
403,axolotl,n01632777,0.9660
404,admiral,n02276258,0.9407
405,lion,n02129165,0.9609
406,sealyham terrier,n02095889,0.9672
407,hognose snake,n01729322,0.9502
408,wood rabbit,n02325366,0.9585
409,jack-o'-lantern,n03590841,0.9793
410,electric guitar,n03272010,0.9396
411,house finch,n01532829,0.9730
412,goblet,n03443371,0.9474
413,spotted salamander,n01632458,0.9735
414,limpkin,n02013706,0.9730
415,dishrag,n03207743,0.9742
416,black swan,n01860187,0.9694
417,ringneck snake,n01728920,0.9471
418,black widow,n01774384,0.9759
419,soccer ball,n04254680,0.9609
420,baboon,n02486410,0.9672
421,fiddler crab,n01980166,0.9454
422,photocopier,n03924679,0.9643
423,pinwheel,n03944341,0.9740
424,triceratops,n01704323,0.9636
425,vestment,n04532106,0.9536
426,bighorn,n02415577,0.9435
427,chickadee,n01592084,0.9670
428,indian elephant,n02504013,0.9395
429,hip,n12620546,0.9319
430,angora,n02328150,0.9579
431,redshank,n02028035,0.9827
432,jellyfish,n01910747,0.9725
433,flamingo,n02007558,0.9661
434,syringe,n04376876,0.9944
435,bee eater,n01828970,0.9413
436,scorpion,n01770393,0.9649
437,fiddler crab,n01980166,0.9854
438,ballplayer,n09835506,0.9521
439,great grey owl,n01622779,0.9757
440,coucal,n01824575,0.9267
441,african elephant,n02504458,0.9458
442,cougar,n02125311,0.9545
443,jack-o'-lantern,n03590841,0.9668
444,tree frog,n01644373,0.9829
445,white stork,n02002556,0.9712
446,dogsled,n03218198,0.9778
447,groenendael,n02105056,0.9811
448,hamster,n02342885,0.9431
449,hoopskirt,n03534580,0.9623
450,pillow,n03938244,0.9582
451,black grouse,n01795545,0.9599
452,police van,n03977966,0.9524
453,bernese mountain dog,n02107683,0.9389
454,bathtub,n02808440,0.9593
455,cardoon,n07730033,0.9540
456,bell cote,n02825657,0.9537
457,pekinese,n02086079,0.9792
458,arctic fox,n02120079,0.9595
459,table lamp,n04380533,0.9356
460,ibex,n02417914,0.9678
461,jack-o'-lantern,n03590841,0.9395
462,anemone fish,n02607072,0.9642
463,keeshond,n02112350,0.9441
464,llama,n02437616,0.9608
465,redshank,n02028035,0.9495
466,lionfish,n02643566,0.9807
467,traffic light,n06874185,0.9613
468,polecat,n02443114,0.9448
469,robin,n01558993,0.9759
470,blenheim spaniel,n02086646,0.9839
471,cabbage butterfly,n02280649,0.9301
472,cabbage butterfly,n02280649,0.9334
473,tusker,n01871265,0.9445
474,oscilloscope,n03857828,0.9417
475,bull mastiff,n02108422,0.9506
476,cabbage butterfly,n02280649,0.9857
477,police van,n03977966,0.9624
478,leonberg,n02111129,0.9501
479,european fire salamander,n01629819,0.9914
480,baboon,n02486410,0.9592
481,boston bull,n02096585,0.9516
482,hog,n02395406,0.9537
483,peacock,n01806143,0.9704
484,indian cobra,n01748264,0.9709
485,tusker,n01871265,0.9657
486,teapot,n04398044,0.9668
487,minivan,n03770679,0.9626
488,ground beetle,n02167151,0.9311
489,alligator lizard,n01689811,0.9497
490,drilling platform,n03240683,0.9595
491,miniature schnauzer,n02097047,0.9567
492,typewriter keyboard,n04505470,0.9595
493,puck,n04019541,0.9570
494,proboscis monkey,n02489166,0.9414
495,barrow,n02797295,0.9652
496,hamster,n02342885,0.9741
497,police van,n03977966,0.9666
498,standard schnauzer,n02097209,0.9617
499,sock,n04254777,0.9293
500,dowitcher,n02033041,0.9528
501,marmot,n02361337,0.9619
502,totem pole,n04458633,0.9771
503,running shoe,n04120489,0.9704
504,badger,n02447366,0.9449
505,drake,n01847000,0.9525
506,grasshopper,n02226429,0.9718
507,three-toed sloth,n02457408,0.9543
508,ruddy turnstone,n02025239,0.9822
509,cicada,n02256656,0.9739
510,weevil,n02177972,0.9412
511,bald eagle,n01614925,0.9505
512,green mamba,n01749939,0.9232
513,fly,n02190166,0.9612
514,oystercatcher,n02037110,0.9727
515,water ouzel,n01601694,0.9697
516,giant schnauzer,n02097130,0.9645
517,birdhouse,n02843684,0.9442
518,gordon setter,n02101006,0.9757
519,saluki,n02091831,0.9570
520,eft,n01631663,0.9472
521,plate rack,n03961711,0.9568
522,ice cream,n07614500,0.9474
523,angora,n02328150,0.9586
524,triumphal arch,n04486054,0.9743
525,hen,n01514859,0.9635
526,timber wolf,n02114367,0.9657
527,gyromitra,n13037406,0.9531
528,great grey owl,n01622779,0.9907
529,green mamba,n01749939,0.9643
530,lesser panda,n02509815,0.9670
531,tiger,n02129604,0.9635
532,anemone fish,n02607072,0.9181
533,rapeseed,n11879895,0.9790
534,ice bear,n02134084,0.9534
535,drake,n01847000,0.9685
536,lacewing,n02264363,0.9749
537,american black bear,n02133161,0.9606
538,bison,n02410509,0.9721
539,spindle,n04277352,0.9579
540,schipperke,n02104365,0.9347
541,great white shark,n01484850,0.9785
542,jaguar,n02128925,0.9341
543,mexican hairless,n02113978,0.9661
544,hot pot,n07590611,0.9746
545,lionfish,n02643566,0.9805
546,trolleybus,n04487081,0.9485
547,ibizan hound,n02091244,0.9621
548,lionfish,n02643566,0.9592
549,kit fox,n02119789,0.9530
550,junco,n01534433,0.9627
551,bernese mountain dog,n02107683,0.9782
552,scottish deerhound,n02092002,0.9361
553,airliner,n02690373,0.9703
554,submarine,n04347754,0.9905
555,hornbill,n01829413,0.9708
556,park bench,n03891251,0.9437
557,lorikeet,n01820546,0.9530
558,pinwheel,n03944341,0.9470
559,junco,n01534433,0.9587
560,red fox,n02119022,0.9826
561,basenji,n02110806,0.9622
562,cucumber,n07718472,0.9560
563,fly,n02190166,0.9732
564,daisy,n11939491,0.9844
565,police van,n03977966,0.9505
566,chickadee,n01592084,0.9726
567,wok,n04596742,0.9476
568,jaguar,n02128925,0.9454
569,trombone,n04487394,0.9634
570,cheetah,n02130308,0.9600
571,strawberry,n07745940,0.9422
572,harvestman,n01770081,0.9748
573,jackfruit,n07754684,0.9432
574,killer whale,n02071294,0.9594
575,bernese mountain dog,n02107683,0.9584
576,radio telescope,n04044716,0.9722
577,beagle,n02088364,0.9418
578,schipperke,n02104365,0.9580
579,safety pin,n04127249,0.9940
580,cock,n01514668,0.9704
581,badger,n02447366,0.9825
582,kerry blue terrier,n02093859,0.9832
583,french horn,n03394916,0.9460
584,chiffonier,n03016953,0.9588
585,radio telescope,n04044716,0.9634
586,hermit crab,n01986214,0.9447
587,bustard,n02018795,0.9755
588,sulphur-crested cockatoo,n01819313,0.9393
589,potter's wheel,n03992509,0.9677
590,lacewing,n02264363,0.9570
591,giant panda,n02510455,0.9675
592,cup,n07930864,0.9343
593,dandie dinmont,n02096437,0.9497
594,leonberg,n02111129,0.9552
595,canoe,n02951358,0.9638
596,water tower,n04562935,0.9687
597,sea slug,n01950731,0.9603
598,wire-haired fox terrier,n02095314,0.9701
599,bloodhound,n02088466,0.9554
600,gondola,n03447447,0.9604
601,flagpole,n03355925,0.9539
602,vine snake,n01739381,0.9431
603,airship,n02692877,0.9408
604,car mirror,n02965783,0.9531
605,hammerhead,n01494475,0.9377
606,tibetan mastiff,n02108551,0.9790
607,african crocodile,n01697457,0.9573
608,reel,n04067472,0.9563
609,toucan,n01843383,0.9502
610,shetland sheepdog,n02105855,0.9619
611,airship,n02692877,0.9498
612,lycaenid,n02281787,0.9614
613,junco,n01534433,0.9661
614,toilet seat,n04447861,0.9527
615,giant panda,n02510455,0.9559
616,snow leopard,n02128757,0.9467
617,alligator lizard,n01689811,0.9650
618,goldfinch,n01531178,0.9516
619,loggerhead,n01664065,0.9535
620,kit fox,n02119789,0.9642
621,macaw,n01818515,0.9276
622,scuba diver,n10565667,0.9661
623,green mamba,n01749939,0.9395
624,black swan,n01860187,0.9839
625,impala,n02422699,0.9502
626,rhinoceros beetle,n02174001,0.9576
627,gibbon,n02483362,0.9634
628,leonberg,n02111129,0.9611
629,hartebeest,n02422106,0.9396
630,cliff dwelling,n03042490,0.9635
631,stethoscope,n04317175,0.9471
632,reel,n04067472,0.9508
633,bald eagle,n01614925,0.9340
634,lorikeet,n01820546,0.9689
635,catamaran,n02981792,0.9636
636,loggerhead,n01664065,0.9574
637,harp,n03495258,0.9855
638,steam locomotive,n04310018,0.9594
639,viaduct,n04532670,0.9497
640,persian cat,n02123394,0.9712
641,meerkat,n02138441,0.9815
642,arctic fox,n02120079,0.9459
643,spoonbill,n02006656,0.9533
644,killer whale,n02071294,0.9557
645,sea urchin,n02319095,0.9781
646,hamster,n02342885,0.9640
647,king crab,n01981276,0.9668
648,nipple,n03825788,0.9445
649,mexican hairless,n02113978,0.9640
650,monarch,n02279972,0.9661
651,water tower,n04562935,0.9730
652,mud turtle,n01667114,0.9766
653,water tower,n04562935,0.9470
654,mud turtle,n01667114,0.9436
655,viaduct,n04532670,0.9535
656,quail,n01806567,0.9858
657,school bus,n04146614,0.9695
658,chow,n02112137,0.9692
659,tibetan terrier,n02097474,0.9416
660,brittany spaniel,n02101388,0.9419
661,radio telescope,n04044716,0.9790
662,impala,n02422699,0.9414
663,leonberg,n02111129,0.9916
664,geyser,n09288635,0.9260
665,obelisk,n03837869,0.9387
666,accordion,n02672831,0.9740
667,abaya,n02667093,0.9534
668,black grouse,n01795545,0.9545
669,convertible,n03100240,0.9739
670,cinema,n03032252,0.9504
671,china cabinet,n03018349,0.9572
672,monarch,n02279972,0.9645
673,yellow lady's slipper,n12057211,0.9702
674,gyromitra,n13037406,0.9620
675,giant schnauzer,n02097130,0.9474
676,siamese cat,n02123597,0.9919
677,polaroid camera,n03976467,0.9389
678,bicycle-built-for-two,n02835271,0.9680
679,jaguar,n02128925,0.9620
680,rapeseed,n11879895,0.9362
681,obelisk,n03837869,0.9693
682,dial telephone,n03187595,0.9566
683,maltese dog,n02085936,0.9255
684,llama,n02437616,0.9638
685,european fire salamander,n01629819,0.9747
686,japanese spaniel,n02085782,0.9450
687,samoyed,n02111889,0.9490
688,volleyball,n04540053,0.9722
689,strawberry,n07745940,0.9310
690,gibbon,n02483362,0.9247
691,bicycle-built-for-two,n02835271,0.9621
692,briard,n02105251,0.9438
693,red-backed sandpiper,n02027492,0.9841
694,yorkshire terrier,n02094433,0.9809
695,cardigan,n02963159,0.9751
696,harvester,n03496892,0.9425
697,common newt,n01630670,0.9663
698,black widow,n01774384,0.9613
699,giant panda,n02510455,0.9592
700,flamingo,n02007558,0.9707
701,bee eater,n01828970,0.9598
702,limpkin,n02013706,0.9503
703,broom,n02906734,0.9309
704,web site,n06359193,0.9783
705,radio telescope,n04044716,0.9776
706,bustard,n02018795,0.9592
707,sulphur-crested cockatoo,n01819313,0.9737
708,rhinoceros beetle,n02174001,0.9632
709,axolotl,n01632777,0.9628
710,green lizard,n01693334,0.9517
711,bustard,n02018795,0.9671
712,malinois,n02105162,0.9635
713,green mamba,n01749939,0.9660
714,hippopotamus,n02398521,0.9642
715,espresso,n07920052,0.9768
716,trilobite,n01768244,0.9891
717,limpkin,n02013706,0.9579
718,pillow,n03938244,0.9892
719,cello,n02992211,0.9359
720,red-breasted merganser,n01855032,0.9599
721,mountain tent,n03792972,0.9626
722,gondola,n03447447,0.9557
723,chiton,n01955084,0.9691
724,anemone fish,n02607072,0.9789
725,junco,n01534433,0.9718
726,sulphur butterfly,n02281406,0.9552
727,microwave,n03761084,0.9425
728,tree frog,n01644373,0.9533
729,bittern,n02011460,0.9523
730,greenhouse,n03457902,0.9489
731,broccoli,n07714990,0.9644
732,leonberg,n02111129,0.9722
733,seat belt,n04162706,0.9400
734,spiny lobster,n01984695,0.9382
735,angora,n02328150,0.9700
736,reflex camera,n04069434,0.9668
737,skunk,n02445715,0.9738
738,meerkat,n02138441,0.9590
739,little blue heron,n02009229,0.9600
740,triceratops,n01704323,0.9545
741,little blue heron,n02009229,0.9715
742,indian elephant,n02504013,0.9889
743,rocking chair,n04099969,0.9353
744,cairn,n02096177,0.9621
745,football helmet,n03379051,0.9370
746,ram,n02412080,0.9646
747,barn spider,n01773549,0.9514
748,honeycomb,n03530642,0.9378
